name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points
Shai Gilgeous-Alexander,OKC,PG,76,11.3,21.8,0.519,5,6.4,1.7,1,32.7
Giannis Antetokounmpo,MIL,PF,67,11.8,19.7,0.601,11.9,6.5,0.9,1.2,30.4
Nikola Jokić,DEN,C,70,11.2,19.5,0.576,12.7,10.2,1.8,0.6,29.6
Luka Dončić,2TM,PG,50,9.2,20.5,0.45,8.2,7.7,1.8,0.4,28.2
Luka Dončić,DAL,PG,22,9.8,21.2,0.464,8.3,7.8,2,0.4,28.1
Luka Dončić,LAL,PG,28,8.8,20,0.438,8.1,7.5,1.6,0.4,28.2
Anthony Edwards,MIN,SG,79,9.1,20.4,0.447,5.7,4.5,1.2,0.6,27.6
Jayson Tatum,BOS,PF,72,9.2,20.3,0.452,8.7,6,1.1,0.5,26.8
Kevin Durant,PHO,PF,62,9.5,18.1,0.527,6,4.2,0.8,1.2,26.6
Tyrese Maxey,PHI,PG,52,9.2,21,0.437,3.3,6.1,1.8,0.4,26.3
Cade Cunningham,DET,PG,70,9.8,20.8,0.469,6.1,9.1,1,0.8,26.1
Jalen Brunson,NYK,PG,65,9,18.5,0.488,2.9,7.3,0.9,0.1,26
Paolo Banchero,ORL,PF,46,9,19.8,0.452,7.5,4.8,0.8,0.6,25.9
Devin Booker,PHO,SG,75,8.7,18.9,0.461,4.1,7.1,0.9,0.2,25.6
LaMelo Ball,CHO,PG,47,8.6,21.3,0.405,4.9,7.4,1.1,0.3,25.2
Damian Lillard,MIL,PG,58,7.7,17.1,0.448,4.7,7.1,1.2,0.2,24.9
Anthony Davis,2TM,PF,51,9.2,17.8,0.516,11.6,3.5,1.2,2.2,24.7
Anthony Davis,LAL,C,42,9.5,18,0.528,11.9,3.4,1.3,2.1,25.7
Anthony Davis,DAL,PF,9,7.8,16.9,0.461,10.1,4.4,0.6,2.2,20
Kyrie Irving,DAL,SG,50,8.9,18.9,0.473,4.8,4.6,1.3,0.5,24.7
Zion Williamson,NOP,PF,30,9.6,16.9,0.567,7.2,5.3,1.2,0.9,24.6
Stephen Curry,GSW,PG,70,8.1,18,0.448,4.4,6,1.1,0.4,24.5
LeBron James,LAL,SF,70,9.3,18.1,0.513,7.8,8.2,1,0.6,24.4
Karl-Anthony Towns,NYK,C,72,8.9,16.9,0.526,12.8,3.1,1,0.7,24.4
Victor Wembanyama,SAS,C,46,8.9,18.6,0.476,11,3.7,1.1,3.8,24.3
Franz Wagner,ORL,SF,60,9,19.4,0.463,5.7,4.7,1.3,0.4,24.2
Trae Young,ATL,PG,76,7.4,18.1,0.411,3.1,11.6,1.2,0.2,24.2
Donovan Mitchell,CLE,SG,71,8.2,18.6,0.443,4.5,5,1.3,0.2,24
Cam Thomas,BRK,SG,25,8,18.2,0.438,3.3,3.8,0.6,0.1,24
Tyler Herro,MIA,SG,77,8.5,17.9,0.472,5.2,5.5,0.9,0.2,23.9
Joel Embiid,PHI,C,19,7.4,16.6,0.444,8.2,4.5,0.7,0.9,23.8
De'Aaron Fox,2TM,PG,62,8.7,18.8,0.463,4.8,6.3,1.5,0.4,23.5
De'Aaron Fox,SAC,PG,45,9.2,19.6,0.469,5,6.1,1.5,0.4,25
De'Aaron Fox,SAS,PG,17,7.4,16.5,0.446,4.3,6.8,1.5,0.3,19.7
Zach LaVine,2TM,SF,74,8.4,16.5,0.511,4.3,4.2,0.8,0.2,23.3
Zach LaVine,CHI,SF,42,8.6,16.9,0.511,4.8,4.5,0.9,0.2,24
Zach LaVine,SAC,SG,32,8.2,16,0.511,3.5,3.8,0.6,0.1,22.4
Ja Morant,MEM,PG,50,8.1,17.8,0.454,4.1,7.3,1.2,0.2,23.2
James Harden,LAC,PG,79,6.7,16.4,0.41,5.8,8.7,1.5,0.7,22.8
Jaylen Brown,BOS,SF,63,8.2,17.7,0.463,5.8,4.5,1.2,0.3,22.2
DeMar DeRozan,SAC,SF,77,8.1,17,0.477,3.9,4.4,0.8,0.4,22.2
Brandon Ingram,NOP,SF,18,8.6,18.5,0.465,5.6,5.2,0.9,0.6,22.2
Jaren Jackson Jr.,MEM,C,74,8,16.4,0.488,5.6,2,1.2,1.5,22.2
Norman Powell,LAC,SG,60,7.6,15.8,0.484,3.2,2.1,1.2,0.2,21.8
Jalen Williams,OKC,SG,69,8.2,16.9,0.484,5.3,5.1,1.6,0.7,21.6
Kawhi Leonard,LAC,SF,37,8.4,16.8,0.498,5.9,3.1,1.6,0.5,21.5
