id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
1,Shai Gilgeous-Alexander,OKC,PG,76.0,11.3,21.8,0.519,5.0,6.4,1.7,1.0,32.7,2.4,30.7
2,Giannis Antetokounmpo,MIL,PF,67.0,11.8,19.7,0.601,11.9,6.5,0.9,1.2,30.4,3.1,30.5
3,Nikola Jokić,DEN,C,70.0,11.2,19.5,0.576,12.7,10.2,1.8,0.6,29.6,3.3,32.0
4,Luka Dončić,multi_team,PG,50.0,9.2,20.5,0.45,8.2,7.7,1.8,0.4,28.2,3.6,24.1
5,Luka Dončić,DAL,PG,22.0,9.8,21.2,0.464,8.3,7.8,2.0,0.4,28.1,3.4,24.1
6,Luka Dončić,LAL,PG,28.0,8.8,20.0,0.438,8.1,7.5,1.6,0.4,28.2,3.7,24.1
7,Anthony Edwards,MIN,SG,79.0,9.1,20.4,0.447,5.7,4.5,1.2,0.6,27.6,3.2,20.1
8,Jayson Tatum,BOS,PF,72.0,9.2,20.3,0.452,8.7,6.0,1.1,0.5,26.8,2.9,21.7
9,Kevin Durant,PHO,PF,62.0,9.5,18.1,0.527,6.0,4.2,0.8,1.2,26.6,3.1,21.2
10,Tyrese Maxey,PHI,PG,52.0,9.2,21.0,0.437,3.3,6.1,1.8,0.4,26.3,2.4,19.5
11,Cade Cunningham,DET,PG,70.0,9.8,20.8,0.469,6.1,9.1,1.0,0.8,26.1,4.4,20.6
12,Jalen Brunson,NYK,PG,65.0,9.0,18.5,0.488,2.9,7.3,0.9,0.1,26.0,2.5,21.6
13,Paolo Banchero,ORL,PF,46.0,9.0,19.8,0.452,7.5,4.8,0.8,0.6,25.9,3.0,20.0
14,Devin Booker,PHO,SG,75.0,8.7,18.9,0.461,4.1,7.1,0.9,0.2,25.6,2.9,19.3
15,LaMelo Ball,CHO,PG,47.0,8.6,21.3,0.405,4.9,7.4,1.1,0.3,25.2,3.6,19.1
16,Damian Lillard,MIL,PG,58.0,7.7,17.1,0.448,4.7,7.1,1.2,0.2,24.9,2.8,21.3
17,Anthony Davis,multi_team,PF,51.0,9.2,17.8,0.516,11.6,3.5,1.2,2.2,24.7,2.2,26.3
18,Anthony Davis,LAL,C,42.0,9.5,18.0,0.528,11.9,3.4,1.3,2.1,25.7,2.2,26.3
19,Anthony Davis,DAL,PF,9.0,7.8,16.9,0.461,10.1,4.4,0.6,2.2,20.0,2.2,26.3
20,Kyrie Irving,DAL,SG,50.0,8.9,18.9,0.473,4.8,4.6,1.3,0.5,24.7,2.2,19.9
21,Zion Williamson,NOP,PF,30.0,9.6,16.9,0.567,7.2,5.3,1.2,0.9,24.6,3.0,27.3
22,Stephen Curry,GSW,PG,70.0,8.1,18.0,0.448,4.4,6.0,1.1,0.4,24.5,2.9,21.5
23,LeBron James,LAL,SF,70.0,9.3,18.1,0.513,7.8,8.2,1.0,0.6,24.4,3.7,22.7
24,Karl-Anthony Towns,NYK,C,72.0,8.9,16.9,0.526,12.8,3.1,1.0,0.7,24.4,2.7,23.4
25,Victor Wembanyama,SAS,C,46.0,8.9,18.6,0.476,11.0,3.7,1.1,3.8,24.3,3.2,24.2
26,Franz Wagner,ORL,SF,60.0,9.0,19.4,0.463,5.7,4.7,1.3,0.4,24.2,2.3,20.1
27,Trae Young,ATL,PG,76.0,7.4,18.1,0.411,3.1,11.6,1.2,0.2,24.2,4.7,18.3
28,Donovan Mitchell,CLE,SG,71.0,8.2,18.6,0.443,4.5,5.0,1.3,0.2,24.0,2.1,20.9
29,Cam Thomas,BRK,SG,25.0,8.0,18.2,0.438,3.3,3.8,0.6,0.1,24.0,2.5,18.0
30,Tyler Herro,MIA,SG,77.0,8.5,17.9,0.472,5.2,5.5,0.9,0.2,23.9,2.6,19.7
31,Joel Embiid,PHI,C,19.0,7.4,16.6,0.444,8.2,4.5,0.7,0.9,23.8,3.3,23.4
32,De'Aaron Fox,multi_team,PG,62.0,8.7,18.8,0.463,4.8,6.3,1.5,0.4,23.5,2.8,18.3
33,De'Aaron Fox,SAC,PG,45.0,9.2,19.6,0.469,5.0,6.1,1.5,0.4,25.0,3.0,18.3
34,De'Aaron Fox,SAS,PG,17.0,7.4,16.5,0.446,4.3,6.8,1.5,0.3,19.7,2.4,18.3
35,Zach LaVine,multi_team,SF,74.0,8.4,16.5,0.511,4.3,4.2,0.8,0.2,23.3,2.8,17.3
36,Zach LaVine,CHI,SF,42.0,8.6,16.9,0.511,4.8,4.5,0.9,0.2,24.0,2.9,17.3
37,Zach LaVine,SAC,SG,32.0,8.2,16.0,0.511,3.5,3.8,0.6,0.1,22.4,2.7,17.3
