conference,name,games_won,games_lost,id
Western,Oklahoma City Thunder,68,14,OKC
Western,Houston Rockets,52,30,HOU
Western,Los Angeles Lakers,50,32,LAL
Western,Denver Nuggets,50,32,DEN
Western,Los Angeles Clippers,50,32,LAC
Western,Minnesota Timberwolves,49,33,MIN
Western,Golden State Warriors,48,34,GSW
Western,Memphis Grizzlies,48,34,MEM
Western,Sacramento King,40,42,SAC
Western,Dallas Mavericks,39,43,DAL
Western,Phoenix Suns,36,46,PHX
Western,Portland Trail Blazers,36,46,POR
Western,San Antonio Spurs,34,48,SAS
Western,New Orleans Pelicans,21,61,NOP
Western,Utah Jazz,17,65,UTA
