id,city,conference,games_lost,games_won,name
,,Eastern,18,64,
,,Eastern,21,61,
,,Eastern,31,51,
,,Eastern,32,50,
,,Eastern,34,48,
,,Eastern,38,44,
,,Eastern,41,41,
,,Eastern,42,40,
,,Eastern,43,39,
,,Eastern,45,37,
,,Eastern,52,30,
,,Eastern,56,26,
,,Eastern,58,24,
,,Eastern,63,19,
,,Eastern,64,18,
,,Western,14,68,
,,Western,30,52,
,,Western,32,50,
,,Western,32,50,
,,Western,32,50,
,,Western,33,49,
,,Western,34,48,
,,Western,34,48,
,,Western,42,40,
,,Western,43,39,
,,Western,46,36,
,,Western,46,36,
,,Western,48,34,
,,Western,61,21,
,,Western,65,17,
